management_label,scen_label,value,outcome,driver,relative_yield_pct
Biogas digestate | Residue Removed,Tmp -3degC,-28.83856562148278,Δ Actual evapotranspiration,Temperature,48.716411244111825
Biogas digestate | Residue Removed,Tmp 0degC,-4.12760727304279,Δ Actual evapotranspiration,Temperature,98.18044125528432
Biogas digestate | Residue Removed,Wind -20%,-3.7705264937729406,Δ Actual evapotranspiration,Wind,100.267411578364
Biogas digestate | Residue Removed,Wind -30%,-4.593957873372825,Δ Actual evapotranspiration,Wind,100.32657603241502
Biogas digestate | Residue Removed,Wind -40%,-5.450255558912269,Δ Actual evapotranspiration,Wind,100.38345247926217
Biogas digestate | Residue Removed,Wind -50%,-6.332604088406485,Δ Actual evapotranspiration,Wind,100.43147794741492
Biogas digestate | Residue Removed,Wind -60%,-7.363128555981547,Δ Actual evapotranspiration,Wind,98.50790479900722
Biogas digestate | Residue Removed,Wind -70%,-8.276257879059035,Δ Actual evapotranspiration,Wind,98.57619408001827
Biogas digestate | Residue Removed,Wind 0%,-2.2293005436799507,Δ Actual evapotranspiration,Wind,100.13429843852367
Biogas digestate | Residue Retained,Rad -10%,-18.3034932550394,Δ Actual evapotranspiration,Radiation,63.61621599040766
Biogas digestate | Residue Retained,Rad -20%,-24.978543660679993,Δ Actual evapotranspiration,Radiation,50.66326974488452
Biogas digestate | Residue Retained,Rad -30%,-31.431333963541892,Δ Actual evapotranspiration,Radiation,37.86035422634616
Biogas digestate | Residue Retained,Rad -5%,-15.132104251455194,Δ Actual evapotranspiration,Radiation,69.38891606312518
Biogas digestate | Residue Retained,Rad 0%,-11.711109166305059,Δ Actual evapotranspiration,Radiation,74.97302029798523
Biogas digestate | Residue Retained,Tmp +0.5degC,0.006662737955337658,Δ Actual evapotranspiration,Temperature,100.49089314623834
Biogas digestate | Residue Retained,Tmp +1degC,4.169341092347795,Δ Actual evapotranspiration,Temperature,104.16696773055861
Biogas digestate | Residue Retained,Tmp +2degC,11.377254391370782,Δ Actual evapotranspiration,Temperature,107.69440588323096
Biogas digestate | Residue Retained,Tmp +3degC,16.967958000110762,Δ Actual evapotranspiration,Temperature,101.71207231734653
Biogas digestate | Residue Retained,Tmp -2degC,-20.481854388308864,Δ Actual evapotranspiration,Temperature,59.4843565240977
Biogas digestate | Residue Retained,Tmp -3degC,-28.832313947755452,Δ Actual evapotranspiration,Temperature,39.389765280169094
Biogas digestate | Residue Retained,Tmp 0degC,-4.5221386844240135,Δ Actual evapotranspiration,Temperature,94.45651322360143
Biogas digestate | Residue Retained,Wind -20%,-3.751224294760899,Δ Actual evapotranspiration,Wind,99.42433080117398
Biogas digestate | Residue Retained,Wind -30%,-4.575354899810628,Δ Actual evapotranspiration,Wind,99.25869820078846
Biogas digestate | Residue Retained,Wind -40%,-5.431485308043948,Δ Actual evapotranspiration,Wind,99.08164724201944
Biogas digestate | Residue Retained,Wind -50%,-6.310846754589669,Δ Actual evapotranspiration,Wind,98.77189851287766
Biogas digestate | Residue Retained,Wind -60%,-7.351345918767378,Δ Actual evapotranspiration,Wind,98.26885240743857
Biogas digestate | Residue Retained,Wind -70%,-8.268254054939648,Δ Actual evapotranspiration,Wind,98.07639830330463
Biogas digestate | Residue Retained,Wind 0%,-2.2210852977461206,Δ Actual evapotranspiration,Wind,99.70401861076064
Mineral fertiliser | Residue Removed,Rad -10%,-18.18750294445938,Δ Actual evapotranspiration,Radiation,73.35764013424827
Mineral fertiliser | Residue Removed,Rad -20%,-24.108304982145636,Δ Actual evapotranspiration,Radiation,68.2519762339746
Mineral fertiliser | Residue Removed,Rad -30%,-30.35017106234413,Δ Actual evapotranspiration,Radiation,59.502899581350704
Mineral fertiliser | Residue Removed,Rad -5%,-15.309687205470471,Δ Actual evapotranspiration,Radiation,73.22011701774812
Mineral fertiliser | Residue Removed,Rad 0%,-11.799532455192535,Δ Actual evapotranspiration,Radiation,79.10934831932413
Mineral fertiliser | Residue Removed,Tmp +0.5degC,0.09243071144978925,Δ Actual evapotranspiration,Temperature,108.27590158236718
