fertilisation,residue,weather_scenario,weather_factor,weather_signed_change_pct,strip_position,weather_is_baseline,system_asy_MgDM_ha_yr,sd_across_rotations,n_rotations,signed_level,wf,scen_label,reference_asy,relative_yield_pct,management_label,leaching_kgN_ha,leaching_sd_kgN_ha,driver,yield_metric
Mineral fertiliser,Residue Retained,weatherRad20dwnCenter,Radiation,-20,Center,FALSE,1.0510550054814813,0.1494299836423538,4,-20,Radiation,Rad -20%,2.000171494351852,52.548244410516,Mineral fertiliser | Residue Retained,23.744771258703704,5.363584933757215,Radiation,All-crop ASY AGB
Mineral fertiliser,Residue Retained,weatherRad30dwnCenter,Radiation,-30,Center,FALSE,0.7854461811851852,0.11894285208012938,4,-30,Radiation,Rad -30%,2.000171494351852,39.2689418583933,Mineral fertiliser | Residue Retained,22.050132512962964,2.597082995124508,Radiation,All-crop ASY AGB
Mineral fertiliser,Residue Retained,weatherRad5dwnCenter,Radiation,-5,Center,FALSE,1.4127012771490741,0.15415009535377636,4,-5,Radiation,Rad -5%,2.000171494351852,70.62900761951188,Mineral fertiliser | Residue Retained,22.374041903703706,3.1231492255310185,Radiation,All-crop ASY AGB
Mineral fertiliser,Residue Retained,weatherTmp0Center,Temperature,0,Center,FALSE,1.8994560243981482,0.2196886994305214,4,0,Temperature,Tmp 0degC,2.000171494351852,94.96465826864811,Mineral fertiliser | Residue Retained,23.219517654907406,2.4208695899205526,Temperature,All-crop ASY AGB
Mineral fertiliser,Residue Retained,weatherTmp0p5upCenter,Temperature,0.5,Center,FALSE,2.0128214776851854,0.15477556795184766,4,0.5,Temperature,Tmp +0.5degC,2.000171494351852,100.63244493629946,Mineral fertiliser | Residue Retained,24.263380449444444,2.65790867976658,Temperature,All-crop ASY AGB
Mineral fertiliser,Residue Retained,weatherTmp1upCenter,Temperature,1,Center,FALSE,2.1083687444416666,0.17515234537353053,4,1,Temperature,Tmp +1degC,2.000171494351852,105.40939866383185,Mineral fertiliser | Residue Retained,25.03841462777778,1.7266809051421372,Temperature,All-crop ASY AGB
Mineral fertiliser,Residue Retained,weatherTmp2dwnCenter,Temperature,-2,Center,FALSE,1.2033876577777778,0.25694465880903816,4,-2,Temperature,Tmp -2degC,2.000171494351852,60.164223976591124,Mineral fertiliser | Residue Retained,15.724025174074074,4.702496981800222,Temperature,All-crop ASY AGB
Mineral fertiliser,Residue Retained,weatherTmp2upCenter,Temperature,2,Center,FALSE,2.1859768288574073,0.14536998051541236,4,2,Temperature,Tmp +2degC,2.000171494351852,109.28947017944404,Mineral fertiliser | Residue Retained,26.763363398148147,2.8166737179176486,Temperature,All-crop ASY AGB
Mineral fertiliser,Residue Retained,weatherTmp3dwnCenter,Temperature,-3,Center,FALSE,0.8044555875925926,0.23457841149859648,4,-3,Temperature,Tmp -3degC,2.000171494351852,40.219330685605705,Mineral fertiliser | Residue Retained,14.383408123212963,4.5801315445731845,Temperature,All-crop ASY AGB
Mineral fertiliser,Residue Retained,weatherTmp3upCenter,Temperature,3,Center,FALSE,2.0798723667394445,0.15325830004803934,4,3,Temperature,Tmp +3degC,2.000171494351852,103.98470194244118,Mineral fertiliser | Residue Retained,26.221397200925924,2.502545546892672,Temperature,All-crop ASY AGB
Mineral fertiliser,Residue Retained,weatherWin0Center,Wind,0,Center,FALSE,1.988496338148148,0.1549327872718116,4,0,Wind,Wind 0%,2.000171494351852,99.4162922411067,Mineral fertiliser | Residue Retained,25.53332877472222,1.11896549113182,Wind,All-crop ASY AGB
Mineral fertiliser,Residue Retained,weatherWin20dwnCenter,Wind,-20,Center,FALSE,1.9826201767592593,0.15740542309458067,4,-20,Wind,Wind -20%,2.000171494351852,99.12250936271442,Mineral fertiliser | Residue Retained,25.444845453703707,1.165806669001251,Wind,All-crop ASY AGB
Mineral fertiliser,Residue Retained,weatherWin30dwnCenter,Wind,-30,Center,FALSE,1.9796005328703705,0.15879853665561594,4,-30,Wind,Wind -30%,2.000171494351852,98.97154011345675,Mineral fertiliser | Residue Retained,25.381138442592594,1.1780259984867838,Wind,All-crop ASY AGB
Mineral fertiliser,Residue Retained,weatherWin40dwnCenter,Wind,-40,Center,FALSE,1.9752941712962961,0.15960503845116583,4,-40,Wind,Wind -40%,2.000171494351852,98.75624049608722,Mineral fertiliser | Residue Retained,25.36532907037037,1.17533484652549,Wind,All-crop ASY AGB
Mineral fertiliser,Residue Retained,weatherWin50dwnCenter,Wind,-50,Center,FALSE,1.9719257010185185,0.1598874365700177,4,-50,Wind,Wind -50%,2.000171494351852,98.58783142280076,Mineral fertiliser | Residue Retained,25.294631212962962,1.2095853674776238,Wind,All-crop ASY AGB
Mineral fertiliser,Residue Retained,weatherWin60dwnCenter,Wind,-60,Center,FALSE,1.9680120662962963,0.16129894405206027,4,-60,Wind,Wind -60%,2.000171494351852,98.39216646440727,Mineral fertiliser | Residue Retained,25.250019941481483,1.1880491271199027,Wind,All-crop ASY AGB
Mineral fertiliser,Residue Retained,weatherWin70dwnCenter,Wind,-70,Center,FALSE,1.9639087708333332,0.16163686567338703,4,-70,Wind,Wind -70%,2.000171494351852,98.18701928205064,Mineral fertiliser | Residue Retained,25.20071821101852,1.209539467646547,Wind,All-crop ASY AGB
