simulation_id,scenario_unit,reference_type,run_id,soil,rotation,rotation_code,fertilisation,residue,weather_scenario,weather_factor,weather_direction,weather_change_pct,weather_signed_change_pct,strip_position,weather_is_baseline
SIM0110,percent,VAPV 0-level (modelled microclimate),foulum_Rotation1MinRet_weatherRad0Center,foulum,Rotation 1,1,Mineral fertiliser,Residue Retained,weatherRad0Center,Radiation,No change,0,0,Center,FALSE
SIM0111,percent,VAPV 0-level (modelled microclimate),foulum_Rotation1MinRet_weatherRad0East,foulum,Rotation 1,1,Mineral fertiliser,Residue Retained,weatherRad0East,Radiation,No change,0,0,East,FALSE
SIM0112,percent,VAPV 0-level (modelled microclimate),foulum_Rotation1MinRet_weatherRad0West,foulum,Rotation 1,1,Mineral fertiliser,Residue Retained,weatherRad0West,Radiation,No change,0,0,West,FALSE
SIM0113,degC,Perturbation from VAPV 0-level,foulum_Rotation1MinRet_weatherTmp3dwnCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Retained,weatherTmp3dwnCenter,Temperature,Decrease,3,-3,Center,FALSE
SIM0114,degC,Perturbation from VAPV 0-level,foulum_Rotation1MinRet_weatherTmp2dwnCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Retained,weatherTmp2dwnCenter,Temperature,Decrease,2,-2,Center,FALSE
SIM0115,degC,VAPV 0-level (modelled microclimate),foulum_Rotation1MinRet_weatherTmp0Center,foulum,Rotation 1,1,Mineral fertiliser,Residue Retained,weatherTmp0Center,Temperature,No change,0,0,Center,FALSE
SIM0116,degC,VAPV 0-level (modelled microclimate),foulum_Rotation1MinRet_weatherTmp0East,foulum,Rotation 1,1,Mineral fertiliser,Residue Retained,weatherTmp0East,Temperature,No change,0,0,East,FALSE
SIM0117,degC,VAPV 0-level (modelled microclimate),foulum_Rotation1MinRet_weatherTmp0West,foulum,Rotation 1,1,Mineral fertiliser,Residue Retained,weatherTmp0West,Temperature,No change,0,0,West,FALSE
SIM0118,degC,Perturbation from VAPV 0-level,foulum_Rotation1MinRet_weatherTmp0p5upCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Retained,weatherTmp0p5upCenter,Temperature,Increase,0.5,0.5,Center,FALSE
SIM0119,degC,Perturbation from VAPV 0-level,foulum_Rotation1MinRet_weatherTmp1upCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Retained,weatherTmp1upCenter,Temperature,Increase,1,1,Center,FALSE
SIM0120,degC,Perturbation from VAPV 0-level,foulum_Rotation1MinRet_weatherTmp2upCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Retained,weatherTmp2upCenter,Temperature,Increase,2,2,Center,FALSE
SIM0121,degC,Perturbation from VAPV 0-level,foulum_Rotation1MinRet_weatherTmp3upCenter,foulum,Rotation 1,1,Mineral fertiliser,Residue Retained,weatherTmp3upCenter,Temperature,Increase,3,3,Center,FALSE
